GEOID20,District,FriendlyId,GEOID23,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
17031custd65316750fc0b169e1da0f6ceb7b373fc0da1196,1,17031custd65316750fc0b169e1da0f6ceb7b373fc0da1196,39033,422,239,162,480,268,148,484,300,176,364,194,166,363,207,145,429,250,159,421,219,180,497,430,25,10,30,0,0,6,30,0,6,0,672,573,30,17,62,0,6,0,0,511,418,27,7,46,0,0,0,0,0,0,0,704,571,27,12,106,0,5,5,93,0,0,0,12,745,623,51,6,65,3,3,0,0,560,481,34,4,47,0,3,0,0,575,463,62,6,30,1,0,0,13,778,588,94,11,65,7,0,575,463,62,9,34,6,0
17031cust0921bccf5afc4639e6cc0ff86d8b39b2a2d63e37,1,17031cust0921bccf5afc4639e6cc0ff86d8b39b2a2d63e37,39034,493,292,179,531,317,162,534,340,182,458,257,192,459,249,191,497,303,165,488,273,192,653,510,43,6,86,12,0,0,86,0,0,0,904,686,68,23,109,18,0,0,0,747,620,38,0,75,0,0,0,0,0,0,0,1023,833,49,12,127,0,0,12,127,0,0,0,0,822,682,66,4,71,4,1,0,0,614,522,39,2,47,4,1,0,0,643,484,72,8,59,1,0,9,10,879,639,108,22,102,12,0,643,484,72,12,63,8,0
17031custcc4182aad81170d31f68ff9b960f0dbc0c8d8004,1,17031custcc4182aad81170d31f68ff9b960f0dbc0c8d8004,39035,924,676,211,1050,751,226,1060,763,275,779,562,196,777,583,169,969,719,204,935,681,205,1638,934,212,31,461,4,0,31,441,0,0,0,2202,1153,303,30,731,4,0,0,0,1531,808,209,20,495,0,0,0,0,0,0,0,2168,1064,312,20,772,0,0,20,726,0,0,0,46,2321,1337,307,74,604,15,10,0,0,1835,1098,217,52,462,6,6,0,0,1743,946,237,42,438,0,1,14,65,2178,1140,323,95,603,29,5,1743,946,237,67,480,23,3
17031custb5acf82d18965f96471b9056eb1750cc463c1eab,1,17031custb5acf82d18965f96471b9056eb1750cc463c1eab,40001,766,615,120,872,693,115,888,737,144,668,530,123,666,528,108,775,626,109,752,582,127,1120,619,145,208,141,0,0,202,116,0,3,0,1760,805,301,400,255,0,2,0,0,1166,800,143,108,138,1,0,0,0,0,0,0,1804,921,322,350,211,1,1,323,178,0,0,0,54,1664,859,341,214,253,26,0,0,0,1295,742,229,144,182,16,0,0,0,1482,776,222,156,252,8,0,9,59,1877,915,306,241,400,58,4,1482,776,222,178,281,42,2
17031custb62e7b38023e7307f4532779918c8fbd5f7e71ed,1,17031custb62e7b38023e7307f4532779918c8fbd5f7e71ed,40002,1175,956,174,1270,1013,160,1304,1065,221,1006,828,162,1009,836,138,1271,1042,173,1211,955,197,2347,788,271,503,784,0,0,479,764,0,6,0,3970,1019,718,831,1417,0,14,0,0,2203,701,320,434,729,3,0,0,0,0,0,0,3523,931,705,681,1215,3,0,661,1144,0,0,0,87,3684,1226,816,763,884,70,3,0,0,2750,1055,528,527,639,38,2,0,0,2919,850,660,576,707,5,0,25,96,3810,966,913,935,983,90,9,2919,850,660,636,749,64,8
17031cust318b700bf320d23d8448f1e2ede59eb6170ae0e6,1,17031cust318b700bf320d23d8448f1e2ede59eb6170ae0e6,40003,1068,874,147,1162,931,149,1200,977,199,880,733,118,892,743,109,1175,977,145,1120,884,170,2385,1029,388,442,517,17,0,415,504,0,0,0,3674,1288,951,613,855,15,0,0,0,2292,983,339,461,455,18,0,0,0,0,0,0,3406,1156,829,776,699,14,0,673,674,0,0,0,78,3325,1019,1039,549,745,49,7,0,0,2551,897,695,410,558,34,5,0,0,2860,1136,683,346,598,9,0,12,76,3363,1228,862,488,760,127,5,2860,1136,683,387,624,103,1
17031cust511205356e411a7da3d36181950a676741783735,1,17031cust511205356e411a7da3d36181950a676741783735,40004,1011,781,183,1224,926,203,1275,977,275,767,597,154,765,606,125,1036,823,160,997,759,181,1466,554,255,77,535,45,0,77,488,45,0,0,2848,858,855,78,981,166,0,0,0,1823,714,358,279,404,94,0,0,0,0,0,0,3536,1125,872,411,994,225,0,411,705,137,0,0,288,3015,1231,676,281,844,25,4,0,0,2312,1056,460,176,625,15,4,0,0,2674,922,707,216,729,6,0,18,76,3494,1111,984,363,1029,70,4,2674,922,707,241,787,50,3
17031custe71787eaedc1d459590f8a85b6910a627ec1a264,1,17031custe71787eaedc1d459590f8a85b6910a627ec1a264,40005,773,617,127,907,695,149,933,722,205,635,516,108,633,511,100,784,648,101,752,594,109,2166,1035,267,176,640,23,0,167,401,23,30,0,3189,1266,485,317,1170,86,0,0,0,1881,813,250,124,658,31,0,0,0,0,0,0,2950,916,542,263,1252,115,0,170,785,70,0,0,468,2542,719,758,390,704,11,10,0,0,1875,626,493,247,515,10,4,0,0,2277,623,559,269,739,8,0,12,67,2906,723,738,469,978,77,4,2277,623,559,320,777,58,3
17031custd8a816433785f7510b51cc26c7fd06caf553bc52,1,17031custd8a816433785f7510b51cc26c7fd06caf553bc52,40006,951,774,137,1030,797,136,1074,853,203,770,635,121,768,642,95,1052,902,119,1011,809,154,2259,997,327,325,619,0,0,325,585,0,0,0,3697,1341,801,547,1076,0,0,0,0,2031,802,357,381,517,1,0,0,0,0,0,0,3674,1257,824,617,1055,2,0,547,979,0,0,0,61,3370,1216,674,622,873,31,11,0,0,2594,1031,476,428,663,21,9,0,0,2701,764,550,539,766,12,0,12,58,3491,869,726,827,1069,81,5,2701,764,550,581,804,58,2
17031cust1d67d45b96ef120b3730016b48d770b4d8ffcdc9,1,17031cust1d67d45b96ef120b3730016b48d770b4d8ffcdc9,40007,947,790,109,1026,831,100,1048,879,150,845,719,103,842,712,93,970,818,94,946,776,115,1728,862,292,272,267,33,0,260,229,20,4,0,2714,952,898,497,347,44,0,0,0,1781,949,178,293,332,25,0,0,0,0,0,0,2901,1037,907,555,383,41,0,506,355,20,0,0,75,2376,892,826,328,337,58,5,0,0,1925,825,559,254,286,41,4,0,0,1905,799,566,238,235,10,0,7,50,2284,889,746,361,286,73,2,1905,799,566,277,250,62,0
